class,feature,coefficient
Decision,this decision,7.465438927409588
Decision,decision,7.268843945416598
Decision,decision of,4.123966955863703
Decision,decision shall,2.5849951816535195
Decision,decision is,2.264344346628297
Decision,ec the,2.151550790115527
Decision,commission decision,2.027148128300468
Decision,council decision,1.4535723784029657
Decision,decision are,1.3651240450860216
Decision,addressed to,1.2795464629376931
Directive,this directive,7.859412043451589
Directive,directive,4.172711586781234
Directive,directive is,2.731156202331629
Directive,directive of,1.7078268358179978
Directive,states shall,1.64006630855865
Directive,amending directive,1.0306945757277997
Directive,directive shall,0.9404189241969279
Directive,they shall,0.8659315483265358
Directive,index,0.824249971496997
Directive,to october,0.8176818548682838
Regulation,this regulation,7.332058985981584
Regulation,regulation,6.513307205715966
Regulation,regulation shall,4.272590639175769
Regulation,shall,2.1891258381399643
Regulation,and directly,2.0785818736510935
Regulation,entirety,2.077545816413483
Regulation,binding in,2.0765886633876987
Regulation,directly applicable,2.071153315353347
Regulation,its entirety,2.065388052915129
Regulation,be binding,2.065292309809628
